iter	MultiClass	Accuracy:use_weights=true	Accuracy:use_weights=false
143	0.4830398309	0.794045485	0.8045614919
144	0.4828170918	0.7941297022	0.8046622984
145	0.4826566685	0.7940839996	0.8045866935
146	0.4826157306	0.7940991699	0.8046118952
147	0.4825122532	0.7941175277	0.8046370968
148	0.4821229839	0.7940421412	0.8045866935
149	0.4818275013	0.7941114422	0.8046118952
150	0.4812005803	0.7941585619	0.8046370968
151	0.4807901765	0.7942684837	0.8047883065
152	0.4805091983	0.7942378466	0.8047631048
153	0.4804310969	0.7942829264	0.8048135081
154	0.4802004759	0.7943332832	0.8047883065
155	0.4801055999	0.7942297252	0.8046875
156	0.4797380382	0.7942262355	0.8047379032
157	0.4788852259	0.7951056941	0.8055443548
158	0.4787790067	0.7951287755	0.8055191532
159	0.4786492323	0.7950653481	0.80546875
160	0.4783093461	0.7951908281	0.8054939516
161	0.4781482373	0.7951140888	0.8054183468
162	0.4778546072	0.7952639566	0.8055695565
163	0.4777679745	0.7954063399	0.8056955645
164	0.4774917002	0.7954830419	0.805796371
165	0.4774528676	0.7954121816	0.8057207661
166	0.477162311	0.7953925509	0.8057459677
167	0.4767357139	0.7955989108	0.8058971774
168	0.476403671	0.7954641888	0.8057207661
169	0.4761247555	0.7953914084	0.8056199597
170	0.4759054224	0.795499188	0.8057207661
171	0.4756660466	0.7953581472	0.8055947581
172	0.4755569474	0.7954978353	0.8056955645
173	0.4755448333	0.7954673583	0.8056703629
174	0.4754267036	0.7954847453	0.8056955645
175	0.4752597009	0.7953841831	0.8055947581
176	0.4750451708	0.7953453398	0.8055191532
177	0.4749186804	0.7952990158	0.8054435484
178	0.4745968933	0.7954331586	0.8054939516
179	0.4744395874	0.795832056	0.8058719758
180	0.4743583707	0.7959376665	0.8059727823
181	0.4742433734	0.7959684104	0.8060231855
182	0.4739746219	0.7960377307	0.8061239919
183	0.473862476	0.7959773442	0.8060735887
184	0.4736734678	0.7958799881	0.8058719758
185	0.4735628603	0.7960129847	0.8059979839
186	0.4733003355	0.7960997154	0.8060483871
187	0.4732507736	0.796038198	0.8059979839
188	0.4730246209	0.7961052077	0.8059979839
189	0.4729726665	0.796114557	0.8060231855
190	0.4726679165	0.7962913864	0.8061743952
191	0.4725275415	0.7962479082	0.8061239919
192	0.472427544	0.7962356822	0.8060987903
193	0.4723265801	0.7962560076	0.8061491935
194	0.4723229628	0.7962160887	0.8060987903
195	0.4720660065	0.7962268552	0.8060735887
196	0.4719595953	0.7962297995	0.8060735887
197	0.4717129423	0.7961563745	0.8060231855
198	0.4715670191	0.7964228862	0.8062752016
199	0.4711355883	0.7969214303	0.8067792339
